"治る","なおる","to get better, to get well, to recover (from an illness), to be cured, to be restored, to heal"
"行政","ぎょうせい","administration, governance, the authorities, authority"
"政治家","せいじか","politician, statesman"
"自治体","じちたい","municipality, local government, self-governing body, autonomous body"
"医療","いりょう","medical care, medical treatment"
"片仮名","かたかな","katakana, angular Japanese syllabary used primarily for loanwords"
"夜景","やけい","night view, night skyline, nightscape"
"景色","けしき","scenery, scene, landscape"
"宗教","しゅうきょう","religion, religious affiliation, belief, faith, creed; religious activity"
"伝統","でんとう","tradition, convention"
"紅茶","こうちゃ","black tea"
